index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
6620,3,2,7,1,8,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,6
5994,2,2,7,1,3,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,1
6312,3,2,7,1,4,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1
6609,2,2,7,1,4,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,1
1065,3,0,9,0,1,2,1,1,7,1,0,3,3,7,7,0,2,1,5,6,4,6
3783,3,0,3,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,6
2793,3,0,0,0,6,2,0,0,10,1,0,3,3,7,3,0,2,1,5,0,5,6
5133,2,2,0,1,3,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,6
6791,2,3,7,1,8,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,1
5198,2,0,9,1,4,2,0,0,3,0,0,2,2,5,1,0,2,1,3,3,4,3
3538,3,2,7,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,1,4,6
2686,2,2,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,5,6
2332,3,0,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,5,6
7609,2,0,3,1,6,2,1,0,7,0,6,2,3,7,7,0,2,2,5,7,2,0
7150,3,2,7,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3
2207,2,0,0,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,0,5,6
2012,2,0,7,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,0,4,6
7277,4,2,7,1,3,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,1
5621,3,3,8,0,4,2,0,0,3,1,0,0,3,7,7,0,2,1,5,3,4,4
2578,2,0,3,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,0,5,6
192,0,3,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,2
2664,2,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6
1247,2,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0
6204,3,2,7,1,8,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,3
4518,2,2,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,6
398,2,0,3,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,4,4
7056,4,3,0,1,3,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3
1224,3,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,0,0,0
962,2,0,0,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,0,4,6
6358,2,3,0,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3
5752,0,3,5,0,6,2,0,0,5,0,0,3,3,7,7,0,2,2,5,4,4,0
7348,4,3,7,1,3,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,1
2224,3,0,0,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,1,5,6
6857,3,3,7,1,8,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,1
3355,3,2,3,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,4,6
1206,3,0,0,1,6,2,1,0,3,1,3,3,3,7,7,0,2,1,1,0,0,0
7584,0,0,8,1,6,2,1,0,4,0,6,2,3,7,7,0,2,2,5,7,3,0
923,2,3,9,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,5,6,4,6
6395,3,3,0,1,4,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,3
5087,4,0,2,1,6,2,1,1,10,0,0,0,3,7,0,0,2,1,1,7,4,1
849,2,3,8,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,5,6,4,6
7088,4,3,7,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1
8055,0,0,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,2,0
1019,2,0,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,4,6
4255,2,2,3,1,4,2,0,0,3,0,0,2,2,5,0,0,2,1,3,3,5,3
3826,2,0,8,1,2,2,0,1,1,0,0,3,3,7,7,0,2,1,5,0,4,6
4957,3,0,9,1,4,2,0,0,7,0,0,2,2,0,0,0,2,1,3,3,4,6
3723,2,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,4,6
190,2,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,0,3,0
4167,3,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,5,0
4231,2,2,9,1,4,2,0,0,7,0,0,2,2,5,5,0,2,1,3,3,5,3
4660,3,2,3,1,4,2,0,0,4,0,0,2,2,0,5,0,2,1,3,3,4,0
7301,4,3,3,1,6,2,1,0,7,0,6,2,3,7,7,0,2,2,5,7,2,0
1031,2,2,0,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,4,0
249,2,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,0,3,0
3081,3,2,7,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,5,6
3852,2,3,5,1,2,2,0,1,7,0,0,3,3,7,7,0,2,1,5,0,3,6
368,0,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,2,0
189,2,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,1,5,3
3480,3,2,3,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6
7449,4,2,0,1,6,2,0,0,10,0,0,1,1,0,0,0,2,2,5,7,5,3
7272,4,2,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6
3093,2,0,3,1,4,2,0,0,7,0,0,2,2,0,1,0,2,1,3,3,4,0
2655,3,0,0,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,0,4,6
4367,3,2,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,6
1826,2,2,7,0,6,2,0,0,1,1,0,3,3,7,3,0,2,1,5,1,4,6
1887,3,2,8,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,3,0
6014,3,3,7,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1
6373,3,3,0,1,4,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,6
6323,3,2,0,1,8,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,3
5365,2,2,0,1,3,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,1
587,3,0,0,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,5,4
3991,2,2,3,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,4,6
3223,3,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,5,6
4630,3,0,7,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,4,6
5767,2,2,8,1,6,2,0,1,8,0,6,3,0,7,7,0,2,1,2,3,4,6
2188,2,0,3,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,0,4,6
2717,3,0,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,4,6
6720,3,3,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6
4126,2,2,9,1,4,2,0,0,3,0,0,2,2,1,5,0,2,1,3,3,4,3
7024,2,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,3
5625,2,0,9,1,4,2,0,0,3,0,0,2,2,5,1,0,2,1,3,3,5,0
2623,3,0,0,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,0,5,6
5519,2,2,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,1
2447,3,0,0,0,6,2,0,0,7,1,0,3,3,7,7,0,2,1,5,1,5,6
2200,2,3,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0
7491,4,2,0,1,8,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,6
3099,3,0,7,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,1,5,6
2782,2,0,3,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,0,5,6
5968,3,0,3,1,4,2,0,0,7,0,0,2,2,1,5,0,2,1,3,3,4,6
6418,2,3,7,1,8,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3
6740,2,2,7,1,4,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,1
3740,2,2,0,0,6,2,0,0,8,1,0,3,3,7,3,0,2,1,5,1,5,6
6497,3,3,7,1,4,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
7966,0,3,8,1,6,2,1,0,7,0,6,3,2,7,7,0,2,2,5,7,2,0
4625,3,2,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,6
6783,3,3,0,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3
1622,3,3,0,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,3,0
584,3,2,9,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,3,0
7799,4,2,7,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6
476,2,0,0,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,5,4
3875,2,0,3,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,0,4,6
7485,3,2,7,1,5,0,0,0,11,0,1,2,1,2,2,0,2,0,4,7,1,6
992,2,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,1,3,0
3269,3,0,3,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,6
5166,4,2,7,0,6,2,0,0,10,0,6,3,3,6,6,0,2,2,1,7,1,5
3663,2,3,8,1,2,2,0,1,4,0,0,3,3,7,7,0,2,1,5,1,4,6
7876,4,3,0,1,3,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,6
59,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,5,3
4962,3,2,9,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,5,6
3907,2,0,9,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,4,3
342,2,3,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,3,2
69,2,0,3,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,4,4
6453,3,2,0,1,8,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,3
2890,2,0,0,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0
780,2,2,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2
624,3,0,3,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,0,5,4
265,3,0,3,1,6,2,0,1,4,0,3,3,3,7,7,0,2,1,5,0,4,4
1772,2,0,8,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0
3152,2,0,3,1,4,2,0,0,3,0,0,2,2,0,5,0,2,1,3,3,5,6
2450,3,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,1,5,6
5861,2,3,7,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5
1341,3,0,0,1,6,2,1,0,3,1,3,0,3,7,7,0,2,1,1,1,0,0
3637,3,0,3,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,1,5,6
3059,3,2,7,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,0,5,6
2951,2,2,0,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,4,6
716,0,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2
2902,2,0,3,0,6,2,0,0,1,1,0,3,3,5,7,0,2,1,5,1,4,6
4721,2,0,9,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,0
2000,2,0,0,0,6,2,0,0,10,1,0,3,3,3,3,0,2,1,5,1,4,6
1036,2,2,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,3,2
1163,2,2,9,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,3,3
1848,3,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6
2166,2,2,7,0,6,2,0,0,10,1,0,3,3,5,7,0,2,1,5,1,5,6
5169,2,2,0,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5
8101,4,3,7,1,8,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3
3895,3,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,5,3
1511,3,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,3,0
2014,2,0,8,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,3,0
4183,3,0,3,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,0,5,6
6413,3,3,7,1,8,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,1
3365,2,0,5,1,2,2,1,1,4,0,0,3,3,7,7,0,2,1,5,1,3,6
575,2,3,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,0
3305,3,2,7,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,1,4,6
4,2,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,0,0
6249,3,2,0,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,3
3545,3,2,7,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6
4786,3,2,3,1,4,2,0,0,3,0,0,2,2,0,5,0,2,1,3,3,4,0
5607,3,2,9,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,0
3864,2,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,4,6
5609,3,3,3,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,4,0
4095,2,0,7,0,6,2,0,0,10,1,0,3,3,5,5,0,2,1,5,0,4,6
6372,3,2,0,1,4,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,1
2484,2,0,7,0,6,2,0,0,7,1,0,3,3,7,3,0,2,1,5,0,4,6
6411,2,3,0,1,4,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,6
5466,4,2,0,0,6,2,0,0,9,0,6,3,3,7,6,0,2,2,1,7,1,5
1450,3,0,0,1,6,2,1,0,3,1,3,0,3,7,7,0,2,1,1,0,0,0
4214,2,0,9,1,4,2,0,0,4,0,0,2,2,1,5,0,2,1,3,3,5,0
1528,2,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,2,2
352,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,0
5139,2,2,3,1,4,2,0,0,7,0,0,2,2,5,0,0,2,1,3,3,5,0
3931,3,0,9,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,0
7708,4,2,7,1,4,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
3657,3,0,7,0,6,2,0,0,1,1,0,3,3,5,5,0,2,1,5,1,4,6
5376,0,2,5,0,6,2,0,0,5,0,0,3,3,7,7,0,2,2,5,4,4,2
743,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,2
6868,3,2,0,1,4,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3
8048,4,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6
3714,3,2,7,0,6,2,0,0,1,1,0,3,3,7,7,0,2,1,5,0,5,6
546,0,2,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,3,2
4658,2,2,9,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,3
3351,2,3,3,1,2,2,1,1,4,0,0,3,3,7,7,0,2,1,5,1,3,6
1192,2,0,7,0,6,2,0,0,7,1,0,3,3,3,5,0,2,1,5,1,4,6
2325,2,0,0,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6
96,3,2,0,0,1,2,0,0,7,0,5,3,1,7,7,0,2,1,5,1,3,0
4407,3,0,3,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,4,3
5841,2,2,9,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,6
1749,3,3,8,1,6,2,1,0,1,1,3,3,0,7,7,0,2,1,1,1,3,0
6300,3,3,7,1,8,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,6
1248,3,0,3,1,6,2,1,0,1,1,3,0,3,7,7,0,2,1,1,0,0,0
4041,3,2,0,0,6,2,0,0,8,1,0,3,3,7,5,0,2,1,5,1,5,6
4482,2,2,3,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,3
5176,3,3,5,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5
5629,3,3,1,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,4,0
3996,2,3,3,0,4,2,0,0,3,1,0,3,3,7,7,0,2,1,5,3,3,0
643,3,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,5,0
2884,3,0,7,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6
6487,3,2,0,1,4,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6
2301,2,2,0,0,6,2,0,0,8,1,0,3,3,3,5,0,2,1,5,0,4,6
7586,0,3,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,3,0
5732,3,2,0,0,6,2,0,0,10,0,6,3,3,6,7,0,2,2,1,7,1,5
933,2,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,0
6471,3,3,0,1,4,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,6
5458,3,3,8,0,4,2,0,0,3,1,0,0,3,7,7,0,2,1,5,3,3,4
1213,2,0,3,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,0,0,0
6701,2,3,7,1,3,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,1
7562,4,3,0,1,3,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,3
7003,2,3,8,1,6,2,1,0,10,0,6,2,2,7,7,0,2,2,5,7,3,0
3885,2,0,3,1,2,2,1,1,4,0,0,3,3,7,7,0,2,1,5,1,3,6
2140,2,0,7,0,6,2,0,0,10,1,0,3,3,5,7,0,2,1,5,0,4,6
4634,3,0,3,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,0,4,6
5741,4,3,0,0,6,2,0,0,10,0,6,3,3,7,7,0,2,2,1,7,1,5
1452,2,0,0,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,1,0,0
7932,4,3,7,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,3
8017,0,0,8,1,6,2,1,0,4,0,6,2,2,7,7,0,2,2,5,7,2,0
